"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"BT1","CR1220_socket","25.65mm","10mm","33.4mm","10mm","33.4mm","10mm","T","180.00","PIN 3V"
"C1","C0603_SMT","12.85mm","12mm","12.85mm","12mm","13.6mm","12mm","T","180.00","10uF"
"C2","CP1.5/3.4","33.5mm","51.9549mm","33.5mm","50.0499mm","33.5mm","50.0499mm","T","90.00","100uF/100V"
"C3","CP1.5/3.4","33.5mm","43.095mm","33.5mm","45mm","33.5mm","45mm","T","270.00","100uF/100V"
"C4","CN2","10.8mm","46.94mm","10.8mm","44.4mm","10.8mm","44.4mm","T","90.00","5D330K 33V"
"C5","C0603_SMT","47mm","50.8mm","47mm","50.8mm","46.25mm","50.8mm","T","0.00","104"
"C6","SM-1210","69.6mm","53.4mm","69.6mm","55mm","69.6mm","55mm","T","270.00","47uF/10V"
"C7","SM-1210","72.9mm","53.4mm","72.9mm","55mm","72.9mm","55mm","T","270.00","47uF/10V"
"C8","SM-1210","40mm","46.1mm","40mm","44.5mm","40mm","44.5mm","T","90.00","2.2uF/100V"
"C9","SM-1210","40mm","51.9mm","40mm","53.5mm","40mm","53.5mm","T","270.00","2.2uF/100V"
"C10","C0603_SMT","55.4mm","41.8mm","55.4mm","41.8mm","56.15mm","41.8mm","T","180.00","39pF"
"C11","C0603_SMT","55.4mm","40.2mm","55.4mm","40.2mm","56.15mm","40.2mm","T","180.00","6800pF"
"C12","C0603_SMT","29.4mm","38.2mm","29.4mm","38.2mm","29.4mm","38.95mm","T","270.00","104"
"C13","C0603_SMT","39.8mm","32.4mm","39.8mm","32.4mm","39.8mm","33.15mm","T","270.00","10uF/16V"
"C14","C0603_SMT","50.6mm","34.8mm","50.6mm","34.8mm","50.6mm","35.55mm","T","270.00","10uF/16V"
"C15","C_Alu_6.3x7.7","26.05mm","21.5mm","28.7mm","21.5mm","28.7mm","21.5mm","T","270.00","100uF/16V"
"C16","C0603_SMT","43.6mm","25.8mm","43.6mm","25.8mm","43.6mm","26.55mm","T","270.00","1uF"
"C17","C0603_SMT","52.7mm","11.2mm","52.7mm","11.2mm","52.7mm","10.45mm","T","90.00","104"
"C18","C0603_SMT","57.8mm","25mm","57.8mm","25mm","57.8mm","25.75mm","T","270.00","104"
"C19","C0603_SMT","45.2mm","25.8mm","45.2mm","25.8mm","45.2mm","26.55mm","T","270.00","104"
"C20","C0603_SMT","42.8mm","15.8mm","42.8mm","15.8mm","42.05mm","15.8mm","T","360.00","104"
"C21","C0603_SMT","48.2mm","3.6mm","48.2mm","3.6mm","47.45mm","3.6mm","T","360.00","22pF"
"C22","C0603_SMT","37.7mm","6.8mm","37.7mm","6.8mm","37.7mm","7.55mm","T","270.00","10pF"
"C23","C0603_SMT","51.6mm","3.6mm","51.6mm","3.6mm","52.35mm","3.6mm","T","180.00","22pF"
"C24","C0603_SMT","44.7mm","6.8mm","44.7mm","6.8mm","44.7mm","7.55mm","T","270.00","10pF"
"C25","C0603_SMT","43.6mm","13.4mm","43.6mm","13.4mm","43.6mm","12.65mm","T","90.00","104"
"C26","C0603_SMT","42mm","13.4mm","42mm","13.4mm","42mm","12.65mm","T","90.00","1uF"
"C27","C0603_SMT","56mm","4mm","56mm","4mm","56mm","4.75mm","T","270.00","104"
"C28","C_Alu_6.3x7.7","84.85mm","42.4mm","82.2mm","42.4mm","82.2mm","42.4mm","T","90.00","470uF/6V3"
"C29","C_Alu_6.3x7.7","84.85mm","49.7mm","82.2mm","49.7mm","82.2mm","49.7mm","T","90.00","470uF/6V3"
"C30","C_7343_40","73.9mm","45.4mm","77.4mm","45.4mm","77.4mm","45.4mm","T","180.00","100uF/16V"
"C31","C0603_SMT","75.1mm","42mm","75.1mm","42mm","75.85mm","42mm","T","180.00","104"
"C32","C0603_SMT","75.1mm","40.4mm","75.1mm","40.4mm","75.85mm","40.4mm","T","180.00","10nF"
"C33","C0603_SMT","67.6mm","16.35mm","67.6mm","16.35mm","67.6mm","15.6mm","T","90.00","22pF"
"C34","C0603_SMT","75.2mm","17mm","75.2mm","17mm","74.45mm","17mm","T","360.00","104"
"C35","C0603_SMT","84mm","28.8mm","84mm","28.8mm","84mm","29.55mm","T","270.00","10uF/16V"
"C36","C0603_SMT","35mm","24.2mm","35mm","24.2mm","34.25mm","24.2mm","T","360.00","104"
"C37","C0603_SMT","66.6mm","13.2mm","66.6mm","13.2mm","65.85mm","13.2mm","T","360.00","104"
"C38","C0603_SMT","11.2mm","23.05mm","11.2mm","23.05mm","11.2mm","23.8mm","T","270.00","100pF"
"C39","C0603_SMT","13mm","17.55mm","13mm","17.55mm","13mm","16.8mm","T","90.00","100pF"
"D1","DO-214AB_SMA","14.2mm","51.242mm","14.2mm","53.4mm","14.2mm","53.492mm","T","270.00","SS36"
"D2","DO-214AB_SMA","78.3mm","52.542mm","78.3mm","54.7mm","78.3mm","54.792mm","T","270.00","SS34"
"D3","DO-214AB_SMA","46.158mm","53.4mm","44mm","53.4mm","43.908mm","53.4mm","T","360.00","SS36"
"D4","Led_0603_Green","83.0954mm","55.4064mm","82.1mm","55.4mm","82.1mm","55.4mm","T","360.00","PWR_4V"
"D5","DO-214AB_SMA","26.8mm","36.242mm","26.8mm","38.4mm","26.8mm","38.492mm","T","270.00","SS34"
"D6","LED_2_holder_3mm","84.23mm","5.73mm","85.5mm","7mm","85.5mm","7mm","T","180.00","LED3mm"
"D7","SOD123","35.4mm","5.379mm","35.4mm","3.6mm","35.4mm","3.508mm","T","90.00","1N5819"
"D8","DO-4148_SMD","8.2mm","28.6mm","8.2mm","26.6mm","8.2mm","26.6mm","T","90.00","4148"
"D9","SOT23","13.7772mm","23mm","13.8mm","23mm","14.7398mm","24.2446mm","T","180.00","DIODE-BAV99"
"D11","SOD123","8mm","18.671mm","8mm","20.45mm","8mm","20.542mm","T","270.00","1N5819"
"D12","SOT23","15.4229mm","17.8mm","15.4mm","17.8mm","14.4602mm","16.5554mm","T","0.00","DIODE-BAV99"
"F1","FUSE2","7.6419mm","53.524mm","4.4669mm","53.524mm","4.4669mm","53.524mm","T","360.00","RKEF300HF-ND"
"J1","JP3","61mm","22.5873mm","61mm","22.6mm","61mm","20.06mm","T","90.00","UART3"
"J2","MicroSim_6P","77.89mm","20.26mm","70.3mm","26.6mm","70.3mm","26.6mm","B","270.00","SIM MICRO PUSH"
"J3","Antenna-IPEX","86.825mm","33.9mm","86.7mm","33.9mm","85.4mm","33.9mm","T","270.00","SMT Connector U.FL Socket"
"J4","CON_2.54mm_2","3mm","37.63mm","3mm","38.9mm","3mm","38.9mm","T","270.00","DATA IN 1"
"J5","CON_2.54mm_2","3mm","27.93mm","3mm","29.2mm","3mm","29.2mm","T","270.00","V_IN"
"J7","CON_2.54mm_2","3mm","19.93mm","3mm","21.2mm","3mm","21.2mm","T","270.00","V_IN"
"J8","CON_2.54mm_2","9.5mm","37.63mm","9.5mm","38.9mm","9.5mm","38.9mm","T","270.00","DATA OUT"
"L1","L2_UF9.8","22.5mm","48mm","19mm","44mm","19mm","44mm","T","360.00","5mH 13x8x5MM"
"L2","L01_SMD_12*12*6","59.4mm","49.7mm","59.4mm","49.7mm","53.75mm","49.7mm","T","360.00","6.8uH 3A"
"L3","L01_CD75","26mm","28.6mm","26mm","28.6mm","28.5mm","28.6mm","T","180.00","100uH CD75"
"L4","R0805","41.7892mm","25.3746mm","41.8mm","25.4mm","41.7892mm","26.5246mm","T","270.00","100uH"
"L5","R0805","38.7746mm","24.2108mm","38.8mm","24.2mm","39.9246mm","24.2108mm","T","180.00","100uH"
"L6","R0805","63.0254mm","13.1892mm","63mm","13.2mm","61.8754mm","13.1892mm","T","360.00","100uH"
"M1","SIM800C","72.5mm","29mm","72.5mm","29mm","64.45mm","35.05mm","T","0.00","SIM800C"
"P1","JP1x4","64.79mm","3.9mm","68.6mm","3.9mm","68.6mm","3.9mm","T","180.00","JTAG"
"Q1","SOT23B","42mm","41.0051mm","42mm","41mm","40.7554mm","40.0602mm","T","270.00","C1815"
"Q2","SOT23B","60.7mm","36.2051mm","60.7mm","36.2mm","59.4554mm","35.2602mm","T","270.00","C1815"
"Q3","SOT23B","61.8mm","40.9949mm","61.8mm","41mm","63.0446mm","41.9398mm","T","90.00","C1815"
"R1","R0603_-SMT","51.4mm","41.05mm","51.4mm","41.1mm","51.4mm","40.3mm","T","90.00","22K 1%"
"R2","R0603_-SMT","53mm","41.05mm","53mm","41.1mm","53mm","40.3mm","T","90.00","10K"
"R3","R0603_-SMT","49.8mm","41.05mm","49.8mm","41mm","49.8mm","41.8mm","T","270.00","22K 1%"
"R4","R0603_-SMT","45mm","41.05mm","45mm","41.1mm","45mm","40.3mm","T","90.00","100K"
"R5","R0603_-SMT","48.2mm","41.05mm","48.2mm","41.1mm","48.2mm","40.3mm","T","90.00","10K 1%"
"R6","R0603_-SMT","87.15mm","55.4mm","87.1mm","55.4mm","87.9mm","55.4mm","T","180.00","1K"
"R7","R0603_-SMT","46.6mm","41.05mm","46.6mm","41mm","46.6mm","41.8mm","T","270.00","62K"
"R8","R0603_-SMT","39.55mm","38.6mm","39.6mm","38.6mm","38.8mm","38.6mm","T","0.00","4.7K"
"R9","R0603_-SMT","38.8mm","41.05mm","38.8mm","41mm","38.8mm","41.8mm","T","270.00","47K"
"R10","R0603_-SMT","31.6mm","29.45mm","31.6mm","29.4mm","31.6mm","30.2mm","T","270.00","3K"
"R11","R0603_-SMT","34.05mm","30.2mm","34mm","30.2mm","34.8mm","30.2mm","T","180.00","1K"
"R12","R0603_-SMT","79.25mm","4.5mm","79.2mm","4.5mm","80mm","4.5mm","T","180.00","1K"
"R13","R0805_SMT","12.4mm","14.15mm","12.4mm","14.2mm","13.35mm","14.15mm","T","180.00","0R"
"R14","R0603_-SMT","79.25mm","6.2mm","79.2mm","6.2mm","80mm","6.2mm","T","180.00","1K"
